StableID,Faction,Class,Name,Dimensions_Cm,Footprint,Pivot,Subparts,Sockets,Collision,ExportStatus,FilePath
SU_BogatyrOreCarrier,Soviet,Harvester,Bogatyr Ore Mining Carrier,600x360x280,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_BogatyrOreCarrier_Blockout.fbx
SU_RysScout,Soviet,LightVehicle,Rys Scout Armored Vehicle,380x220x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_RysScout_Blockout.fbx
SU_GranitMBT,Soviet,MBT,Granit Main Battle Tank,550x330x220,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_GranitMBT_Blockout.fbx
SU_ZarevoMLRS,Soviet,Artillery,Zarevo Thermobaric MLRS,600x320x250,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_ZarevoMLRS_Blockout.fbx
SU_GromoboyRam,Soviet,SpecialVehicle,Gromoboy Tesla Ram Tank,580x340x240,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_GromoboyRam_Blockout.fbx
SU_VoevodaHeavyTank,Soviet,HeavyTank,Voevoda Superheavy Tank,720x460x350,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_VoevodaHeavyTank_Blockout.fbx
SU_KrechetInterceptor,Soviet,Aircraft,Krechet Jet Interceptor,650x500x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_KrechetInterceptor_Blockout.fbx
SU_KorshunGunship,Soviet,Aircraft,Korshun Attack Helicopter,700x550x250,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_KorshunGunship_Blockout.fbx
SU_GromadaAirship,Soviet,Aircraft,Gromada Heavy Airship,1300x600x450,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_GromadaAirship_Blockout.fbx
SU_BuranPatrolBoat,Soviet,Naval,Buran Patrol Gunboat,1000x350x280,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_BuranPatrolBoat_Blockout.fbx
SU_MorokSubmarine,Soviet,Naval,Morok Attack Submarine,1400x350x320,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_MorokSubmarine_Blockout.fbx
SU_SvyatogorCruiser,Soviet,Naval,Svyatogor Missile Cruiser,2000x600x500,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_SvyatogorCruiser_Blockout.fbx
SU_Hero_Morozova,Soviet,Infantry,Major Elena Morozova Hero,70x70x185,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Soviet/SM_Soviet_SU_Hero_Morozova_Blockout.fbx
AL_MCV_MobileNode,Alliance,Building,Mobile Deployment Node,800x700x500,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_MCV_MobileNode_Blockout.fbx
AL_ConYard,Alliance,Building,Network Command Center,800x800x600,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_ConYard_Blockout.fbx
AL_PowerPlant,Alliance,Building,Compact Fusion Reactor,600x600x480,3x3,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_PowerPlant_Blockout.fbx
AL_Refinery,Alliance,Building,Automated Ore Processor,800x800x450,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_Refinery_Blockout.fbx
AL_Barracks,Alliance,Building,Tactical Barracks,600x600x400,3x3,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_Barracks_Blockout.fbx
AL_WarFactory,Alliance,Building,Modular Vehicle Assembly,800x800x500,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_WarFactory_Blockout.fbx
AL_Airfield,Alliance,Building,Skyline Airbase,800x800x450,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_Airfield_Blockout.fbx
AL_NavalYard,Alliance,Building,Oceanic Dock,1000x1000x500,5x5,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_NavalYard_Blockout.fbx
AL_Radar,Alliance,Building,Recon Intel Center,400x400x680,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_Radar_Blockout.fbx
AL_TechCenter,Alliance,Building,Applied Physics Lab,600x600x550,3x3,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_TechCenter_Blockout.fbx
AL_GunTurret,Alliance,Building,Guardian Auto-Cannon Turret,400x400x300,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_GunTurret_Blockout.fbx
AL_AATurret,Alliance,Building,Dome Missile AA Battery,400x400x360,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_AATurret_Blockout.fbx
AL_PrismTower,Alliance,Building,Prism Beam Battery,400x400x560,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_PrismTower_Blockout.fbx
AL_ShieldProjectorBuilding,Alliance,Building,Area Shield Projector,400x400x320,2x2,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_ShieldProjectorBuilding_Blockout.fbx
AL_SuperweaponChrono,Alliance,Building,Chrono Evacuation Grid,1000x1000x880,5x5,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_SuperweaponChrono_Blockout.fbx
AL_SuperweaponOrbital,Alliance,Building,Zenith Orbital Platform Base,1000x1000x920,5x5,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_SuperweaponOrbital_Blockout.fbx
AL_SentinelRifleman,Alliance,Infantry,Sentinel Rifleman M6,60x60x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_SentinelRifleman_Blockout.fbx
AL_LancerTeam,Alliance,Infantry,Lancer Missile Team FGM-31,65x65x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_LancerTeam_Blockout.fbx
AL_FieldEngineer,Alliance,Infantry,Field Engineer E-4,60x60x175,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_FieldEngineer_Blockout.fbx
AL_LongwatchSniper,Alliance,Infantry,Longwatch Sniper R-9,60x60x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_LongwatchSniper_Blockout.fbx
AL_LifelineMedic,Alliance,Infantry,Lifeline Field Medic M-12,60x60x175,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_LifelineMedic_Blockout.fbx
AL_FrostlineSpecialist,Alliance,Infantry,Frostline Cryo Specialist C-7,65x65x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_FrostlineSpecialist_Blockout.fbx
AL_PioneerHarvester,Alliance,Harvester,Pioneer Mining Platform M88,580x350x270,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_PioneerHarvester_Blockout.fbx
AL_KestrelScout,Alliance,LightVehicle,Kestrel Scout Vehicle LAV-41,360x210x175,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_KestrelScout_Blockout.fbx
AL_BulwarkMBT,Alliance,MBT,Bulwark Main Battle Tank M14,540x320x210,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_BulwarkMBT_Blockout.fbx
AL_OracleArtillery,Alliance,Artillery,Oracle Railgun Howitzer XM190,590x310x240,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_OracleArtillery_Blockout.fbx
AL_RefractionTank,Alliance,SpecialVehicle,Refraction Stealth Tank XM27,520x300x200,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_RefractionTank_Blockout.fbx
AL_WardShieldCarrier,Alliance,SpecialVehicle,Ward Shield Carrier M46,560x330x230,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_WardShieldCarrier_Blockout.fbx
AL_CitadelTank,Alliance,HeavyTank,Citadel Heavy Assault Tank M70,700x440x340,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_CitadelTank_Blockout.fbx
AL_ShrikeInterceptor,Alliance,Aircraft,Shrike Jet Fighter F/A-48,640x480x175,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_ShrikeInterceptor_Blockout.fbx
AL_VectorVTOL,Alliance,Aircraft,Vector VTOL Transport AV-27,680x520x240,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_VectorVTOL_Blockout.fbx
AL_NightveilBomber,Alliance,Aircraft,Nightveil Stealth Bomber B-39,900x750x220,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_NightveilBomber_Blockout.fbx
AL_MantaPatrolCraft,Alliance,Naval,Manta Hydrofoil Patrol Craft PHM-22,950x320x260,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_MantaPatrolCraft_Blockout.fbx
AL_ResoluteDestroyer,Alliance,Naval,Resolute Guided Missile Destroyer DDG-31,1600x450x420,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_ResoluteDestroyer_Blockout.fbx
AL_HorizonCarrier,Alliance,Naval,Horizon Aircraft Carrier CVX-90,2200x700x550,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_HorizonCarrier_Blockout.fbx
AL_Hero_Hart,Alliance,Infantry,Agent Evelyn Hart Hero,65x65x180,1x1,"BottomCenter (0,0,0)","Chassis, Turret, GunBarrel, Tracks, Cockpit","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine",Capsule / Convex Hull,SUCCESS,Content/RA4/Art/Blockout/Alliance/SM_Alliance_AL_Hero_Hart_Blockout.fbx
CO_MCV_MobileNode,Coalition,Building,Mobile Harmony Hub,800x700x500,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Coalition/SM_Coalition_CO_MCV_MobileNode_Blockout.fbx
CO_ConYard,Coalition,Building,Command Palace Citadel,800x800x620,4x4,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Coalition/SM_Coalition_CO_ConYard_Blockout.fbx
CO_PowerPlant,Coalition,Building,Solar Collector Array,600x600x450,3x3,"BottomCenter (0,0,0)","MainBuilding, RoofStructure, EntranceGate, Spire","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,SUCCESS,Content/RA4/Art/Blockout/Coalition/SM_Coalition_CO_PowerPlant_Blockout.fbx
