StableID,Faction,Bloc,Class,Name,Dimensions_Cm,Footprint,Pivot,Subparts,Sockets,Collision,ExportStatus,FilePath,ConceptPromptRef,ModelPromptRef,IconPath
RU_GunTurret,Россия,EurasianPact,Building,Пулемётный ДОТ,400x400x300,2x2,"BottomCenter (0,0,0)","MainBuilding, FiringSlit, MG","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_GunTurret.fbx,04_Buildings#50,03_Units_3D_models,Icons/Pact/RU_GunTurret.png
RU_AATurret,Россия,EurasianPact,Building,Зенитный комплекс «Шилка»,400x400x350,2x2,"BottomCenter (0,0,0)","MainBuilding, MultiBarrelTurret, RotatingBase","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_AATurret.fbx,04_Buildings#51,03_Units_3D_models,Icons/Pact/RU_AATurret.png
RU_EMPCoil,Россия,EurasianPact,Building,Комплекс ЭМИ «Перун»,400x400x550,2x2,"BottomCenter (0,0,0)","MainBuilding, TeslaCoil, VioletArcing, Base","SOCKET_Muzzle, SOCKET_VFX_Tesla",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_EMPCoil.fbx,04_Buildings#52,03_Units_3D_models,Icons/Pact/RU_EMPCoil.png
RU_Bunker,Россия,EurasianPact,Building,Бункер передовой,400x400x250,2x2,"BottomCenter (0,0,0)","MainBuilding, Sandbags, 5xFiringSlits","SOCKET_Muzzle1, SOCKET_Muzzle2, SOCKET_Muzzle3, SOCKET_Muzzle4, SOCKET_Muzzle5",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_Bunker.fbx,04_Buildings#53,03_Units_3D_models,Icons/Pact/RU_Bunker.png
RU_ActiveDefense,Россия,EurasianPact,Building,Комплекс активной защиты «Железный купол»,1000x1000x850,5x5,"BottomCenter (0,0,0)","MainBuilding, InterceptorBattery, Radar, Armored","SOCKET_Entrance, SOCKET_VFX_Shield, SOCKET_Radar",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_ActiveDefense.fbx,04_Buildings#54,03_Units_3D_models,Icons/Pact/RU_ActiveDefense.png
RU_MissileSilo,Россия,EurasianPact,Building,Ракетная шахта «Каратель»,1000x1000x950,5x5,"BottomCenter (0,0,0)","MainBuilding, VLSHatch, CommandBunker, LaunchPlume","SOCKET_Entrance, SOCKET_VFX_Launch",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Buildings/SM_Pact_RU_MissileSilo.fbx,04_Buildings#55,03_Units_3D_models,Icons/Pact/RU_MissileSilo.png
ATL_MobileNode,AtlanticCommon,AtlanticAlliance,Building,Мобильный узел,800x700x500,4x4,"BottomCenter (0,0,0)","MainBuilding, Wheels, CommsMast, EntranceGate","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Beacon",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_MobileNode.fbx,04_Buildings#56,03_Units_3D_models,Icons/Alliance/ATL_MobileNode.png
ATL_NetworkHQ,AtlanticCommon,AtlanticAlliance,Building,Сетевой штаб,800x800x600,4x4,"BottomCenter (0,0,0)","MainBuilding, AntennaLattice, BlueGlow, FlagPole","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_NetworkHQ.fbx,04_Buildings#57,03_Units_3D_models,Icons/Alliance/ATL_NetworkHQ.png
ATL_CompactReactor,AtlanticCommon,AtlanticAlliance,Building,Компактный реактор,500x500x500,2x2,"BottomCenter (0,0,0)","MainBuilding, CylindricalReactor, BlueCoreGlow","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX_Power",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_CompactReactor.fbx,04_Buildings#58,03_Units_3D_models,Icons/Alliance/ATL_CompactReactor.png
ATL_Refinery,AtlanticCommon,AtlanticAlliance,Building,Переработчик,800x800x450,4x4,"BottomCenter (0,0,0)","MainBuilding, OreProcessor, DroneBay, SleekPanels","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Dock, SOCKET_Drone",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_Refinery.fbx,04_Buildings#59,03_Units_3D_models,Icons/Alliance/ATL_Refinery.png
ATL_Barracks,AtlanticCommon,AtlanticAlliance,Building,Тактическая казарма,600x600x400,3x3,"BottomCenter (0,0,0)","MainBuilding, ModularContainer, BlueFlag, DronePad","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Drone",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_Barracks.fbx,04_Buildings#60,03_Units_3D_models,Icons/Alliance/ATL_Barracks.png
ATL_WarFactory,AtlanticCommon,AtlanticAlliance,Building,Модульный завод,800x800x500,4x4,"BottomCenter (0,0,0)","MainBuilding, PanelBuildHangar, Crane, VehicleExitRamp","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Exit",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_WarFactory.fbx,04_Buildings#61,03_Units_3D_models,Icons/Alliance/ATL_WarFactory.png
ATL_AirBase,AtlanticCommon,AtlanticAlliance,Building,Авиабаза «Небесная линия»,800x800x450,4x4,"BottomCenter (0,0,0)","MainBuilding, ControlTower, 4xPads, HardenedShelters","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Pad1, SOCKET_Pad2, SOCKET_Pad3, SOCKET_Pad4",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_AirBase.fbx,04_Buildings#62,03_Units_3D_models,Icons/Alliance/ATL_AirBase.png
ATL_OceanicDock,AtlanticCommon,AtlanticAlliance,Building,Океанический док,1000x1000x500,5x5,"BottomCenter (0,0,0)","MainBuilding, FloatingModularDock, Crane, DroneBoatBay","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX, SOCKET_Dock, SOCKET_Drone",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_OceanicDock.fbx,04_Buildings#63,03_Units_3D_models,Icons/Alliance/ATL_OceanicDock.png
ATL_ReconCenter,AtlanticCommon,AtlanticAlliance,Building,Разведцентр,400x400x700,2x2,"BottomCenter (0,0,0)","MainBuilding, RadarDome, SigintAntennas","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX_Radar",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_ReconCenter.fbx,04_Buildings#64,03_Units_3D_models,Icons/Alliance/ATL_ReconCenter.png
ATL_AdvancedSystemsLab,AtlanticCommon,AtlanticAlliance,Building,Центр перспективных систем,600x600x550,3x3,"BottomCenter (0,0,0)","MainBuilding, CryoDome, MaskDome, BlueEnergy","SOCKET_Entrance, SOCKET_Spawn, SOCKET_VFX_Cryo",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_AdvancedSystemsLab.fbx,04_Buildings#65,03_Units_3D_models,Icons/Alliance/ATL_AdvancedSystemsLab.png
ATL_Autocannon,AtlanticCommon,AtlanticAlliance,Building,Автопушка «Страж»,400x400x300,2x2,"BottomCenter (0,0,0)","MainBuilding, MultiGunTurret, Sandbags","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_Autocannon.fbx,04_Buildings#66,03_Units_3D_models,Icons/Alliance/ATL_Autocannon.png
ATL_SAM,AtlanticCommon,AtlanticAlliance,Building,Ракетная ПВО «Купол»,400x400x350,2x2,"BottomCenter (0,0,0)","MainBuilding, Launcher, Radar, BlueGlow","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX, SOCKET_Radar",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_SAM.fbx,04_Buildings#67,03_Units_3D_models,Icons/Alliance/ATL_SAM.png
ATL_EMBattery,AtlanticCommon,AtlanticAlliance,Building,Электромагнитная батарея,400x400x450,2x2,"BottomCenter (0,0,0)","MainBuilding, PrismEmitter, BlueCapacitors","SOCKET_Muzzle, SOCKET_VFX_EMP",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_EMBattery.fbx,04_Buildings#68,03_Units_3D_models,Icons/Alliance/ATL_EMBattery.png
ATL_ShieldProjector,AtlanticCommon,AtlanticAlliance,Building,Комплекс активной защиты,400x400x400,2x2,"BottomCenter (0,0,0)","MainBuilding, ShieldDomeEmitter, DirectionalShield","SOCKET_VFX_Shield",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_ShieldProjector.fbx,04_Buildings#69,03_Units_3D_models,Icons/Alliance/ATL_ShieldProjector.png
ATL_RecallNetwork,AtlanticCommon,AtlanticAlliance,Building,Сеть воздушной эвакуации,800x800x900,4x4,"BottomCenter (0,0,0)","MainBuilding, BeaconPylon, BluePortalHint","SOCKET_Entrance, SOCKET_VFX_Portal",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_RecallNetwork.fbx,04_Buildings#70,03_Units_3D_models,Icons/Alliance/ATL_RecallNetwork.png
ATL_HypersonicStrike,AtlanticCommon,AtlanticAlliance,Building,Гиперзвуковой ударный комплекс «Зенит»,1000x1000x950,5x5,"BottomCenter (0,0,0)","MainBuilding, VLSSilo, KineticRodMarkings, BlueGlow","SOCKET_Entrance, SOCKET_VFX_Launch",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Buildings/SM_Alliance_ATL_HypersonicStrike.fbx,04_Buildings#71,03_Units_3D_models,Icons/Alliance/ATL_HypersonicStrike.png
RU_RubezhRifleman,Россия,EurasianPact,Infantry,Мотострелок МС-12 «Рубеж»,60x60x180,1x1,"BottomCenter (0,0,0)","Torso, Head, Arms, Legs, Rifle, Helmet, Gear","SOCKET_Muzzle, SOCKET_VFX_Muzzle, SOCKET_FX_Foot",Capsule / Convex Hull,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_RubezhRifleman.fbx,02_Units_2D_concepts#1,03_Units_3D_models,Icons/Pact/RU_RubezhRifleman.png
RU_ZapalGrenadier,Россия,EurasianPact,Infantry,Штурмовик ОШ-4 «Запал»,70x70x185,1x1,"BottomCenter (0,0,0)","Torso, Head, Arms, Legs, GrenadeLauncher, ThermobaricBackpack","SOCKET_Muzzle, SOCKET_VFX_Muzzle, SOCKET_VFX_Thermo",Capsule / Convex Hull,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_ZapalGrenadier.fbx,02_Units_2D_concepts#2,03_Units_3D_models,Icons/Pact/RU_ZapalGrenadier.png
RU_ZaslonAATeam,Россия,EurasianPact,Infantry,Зенитный расчёт ПЗК-9 «Заслон»,65x65x180,1x1,"BottomCenter (0,0,0)","Trooper1, Trooper2, FlakCannon, Rangefinder","SOCKET_Muzzle, SOCKET_VFX_Muzzle",Capsule / Convex Hull,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_ZaslonAATeam.fbx,02_Units_2D_concepts#3,03_Units_3D_models,Icons/Pact/RU_ZaslonAATeam.png
RU_MasterEngineer,Россия,EurasianPact,Infantry,Инженер-сапёр ИС-3 «Мастер»,60x60x180,1x1,"BottomCenter (0,0,0)","Torso, Head, Arms, Legs, ToolHarness, MineDetector, WeldingKit","SOCKET_VFX_Repair, SOCKET_VFX_Capture",Capsule / Convex Hull,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_MasterEngineer.fbx,02_Units_2D_concepts#4,03_Units_3D_models,Icons/Pact/RU_MasterEngineer.png
RU_RazryadTrooper,Россия,EurasianPact,Infantry,Электроштурмовик ЭШ-8 «Разряд»,70x70x190,1x1,"BottomCenter (0,0,0)","Torso, Head, Arms, Legs, ArcEmitter, BackpackCapacitor, FaceShield","SOCKET_Muzzle, SOCKET_VFX_Arc, SOCKET_VFX_Capacitor",Capsule / Convex Hull,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_RazryadTrooper.fbx,02_Units_2D_concepts#5,03_Units_3D_models,Icons/Pact/RU_RazryadTrooper.png
RU_VektorOfficer,Россия,EurasianPact,Infantry,Офицер связи КС-6 «Вектор»,60x60x185,1x1,"BottomCenter (0,0,0)","Torso, Head, Arms, Legs, SubmachineGun, CommandRadioMast, VioletBeacon, Binoculars","SOCKET_Muzzle, SOCKET_VFX_Beacon",Capsule / Convex Hull,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_VektorOfficer.fbx,02_Units_2D_concepts#6,03_Units_3D_models,Icons/Pact/RU_VektorOfficer.png
RU_BogatyrOreCarrier,Россия,EurasianPact,Vehicle,Горнорудная машина ГРМ-8 «Богатырь»,700x350x400,3x3,"BottomCenter (0,0,0)","Chassis, 8xWheels, OreHopper, EmergencyArmorPlates, IndustrialCrane","SOCKET_VFX_Engine, SOCKET_VFX_Armor",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_BogatyrOreCarrier.fbx,02_Units_2D_concepts#7,03_Units_3D_models,Icons/Pact/RU_BogatyrOreCarrier.png
RU_RysScout,Россия,EurasianPact,Vehicle,Боевая разведмашина БРМ-27 «Рысь»,500x300x250,2x2,"BottomCenter (0,0,0)","Chassis, 6xWheels, TwinMGTurret, SensorMast","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine, SOCKET_Sensor",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_RysScout.fbx,02_Units_2D_concepts#8,03_Units_3D_models,Icons/Pact/RU_RysScout.png
RU_GranitMBT,Россия,EurasianPact,Vehicle,Основной танк ОБТ-92 «Гранит»,800x380x300,3x3,"BottomCenter (0,0,0)","Chassis, Tracks, Turret, 125mmGun, ERABlocks, VioletOptics","SOCKET_Muzzle, SOCKET_Turret, SOCKET_VFX_Engine, SOCKET_VFX_Optics",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_GranitMBT.fbx,02_Units_2D_concepts#9,03_Units_3D_models,Icons/Pact/RU_GranitMBT.png
RU_ZarevoMLRS,Россия,EurasianPact,Vehicle,Термобарическая РСЗО ТРС-18 «Зарево»,700x350x350,3x3,"BottomCenter (0,0,0)","Chassis, Tracks, LauncherBox, ElevatedLauncherArray, WarningStripes","SOCKET_Muzzle, SOCKET_VFX_Muzzle, SOCKET_VFX_Engine",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_ZarevoMLRS.fbx,02_Units_2D_concepts#10,03_Units_3D_models,Icons/Pact/RU_ZarevoMLRS.png
RU_GromoboyRam,Россия,EurasianPact,Vehicle,Машина РЭБ ЭМП-7 «Громобой»,600x350x350,3x3,"BottomCenter (0,0,0)","Chassis, Tracks, EMPDishArray, Capacitors, VioletArcingEnergy, HeavyRamPlate","SOCKET_VFX_EMP, SOCKET_VFX_Arc, SOCKET_VFX_Engine",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_GromoboyRam.fbx,02_Units_2D_concepts#11,03_Units_3D_models,Icons/Pact/RU_GromoboyRam.png
RU_VoevodaHeavyTank,Россия,EurasianPact,Vehicle,Тяжёлый танк прорыва ТТП-11 «Воевода»,1200x500x450,4x4,"BottomCenter (0,0,0)","Chassis, DualTracks, TwinHeavyCannons, AAMissilePods, SiegeStabilizerLegs","SOCKET_Muzzle1, SOCKET_Muzzle2, SOCKET_Turret1, SOCKET_Turret2, SOCKET_VFX_Engine, SOCKET_VFX_AAMissile",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_VoevodaHeavyTank.fbx,02_Units_2D_concepts#12,03_Units_3D_models,Icons/Pact/RU_VoevodaHeavyTank.png
RU_KrechetInterceptor,Россия,EurasianPact,Aircraft,Истребитель И-47 «Кречет»,1500x1000x400,3x3,"BottomCenter (0,0,0)","Fuselage, DeltaWing, Engines, AAMLoad, VioletAfterburner","SOCKET_Muzzle, SOCKET_VFX_Afterburner, SOCKET_VFX_Muzzle",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_KrechetInterceptor.fbx,02_Units_2D_concepts#13,03_Units_3D_models,Icons/Pact/RU_KrechetInterceptor.png
RU_KorshunGunship,Россия,EurasianPact,Aircraft,Штурмовой вертолёт ШВ-38 «Коршун»,1400x600x500,3x3,"BottomCenter (0,0,0)","Fuselage, MainRotor, TailRotor, NoseCannon, RocketPods, TroopBay, TandemCockpit","SOCKET_Muzzle1, SOCKET_Muzzle2, SOCKET_VFX_Rotor, SOCKET_VFX_Engine, SOCKET_TroopBay",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_KorshunGunship.fbx,02_Units_2D_concepts#14,03_Units_3D_models,Icons/Pact/RU_KorshunGunship.png
RU_GromadaAirship,Россия,EurasianPact,Aircraft,Беспилотная аэростатная платформа ТДА-8 «Громада»,2500x800x1200,5x5,"BottomCenter (0,0,0)","Envelope, GuidedMunitionsBays, DroneBays, SlowOminousSilhouette","SOCKET_VFX_Engine, SOCKET_VFX_Bay1, SOCKET_VFX_Bay2, SOCKET_VFX_Bay3",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_GromadaAirship.fbx,02_Units_2D_concepts#15,03_Units_3D_models,Icons/Pact/RU_GromadaAirship.png
RU_BuranPatrolBoat,Россия,EurasianPact,Naval,Боевой катер БК-27 «Буран»,600x250x200,3x3,"BottomCenter (0,0,0)","Hull, Autocannon, LightAAM, ElectricMineRack","SOCKET_Muzzle, SOCKET_VFX_Engine, SOCKET_VFX_Wake",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_BuranPatrolBoat.fbx,02_Units_2D_concepts#16,03_Units_3D_models,Icons/Pact/RU_BuranPatrolBoat.png
RU_MorokSubmarine,Россия,EurasianPact,Naval,Ударная подлодка УПЛ-90 «Морок»,1200x300x400,4x4,"BottomCenter (0,0,0)","Hull, ConningTower, HeavyTorpedoTubes, StealthyBlackHull, Sensors","SOCKET_Muzzle, SOCKET_VFX_Torpedo, SOCKET_VFX_Sonar",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_MorokSubmarine.fbx,02_Units_2D_concepts#17,03_Units_3D_models,Icons/Pact/RU_MorokSubmarine.png
RU_SvyatogorCruiser,Россия,EurasianPact,Naval,Ракетный крейсер РКР-44 «Святогор»,2000x400x500,5x5,"BottomCenter (0,0,0)","Hull, CruiseMissileVLSArrays, RadarMasts, LongRangeBombardment","SOCKET_Muzzle, SOCKET_VFX_Launch, SOCKET_VFX_Radar, SOCKET_VFX_Wake",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_SvyatogorCruiser.fbx,02_Units_2D_concepts#18,03_Units_3D_models,Icons/Pact/RU_SvyatogorCruiser.png
RU_Hero_Morozova,Россия,EurasianPact,Hero,Майор Елена Морозова,60x60x185,1x1,"BottomCenter (0,0,0)","Torso, Head, Arms, Legs, TeslaRifle, WinterCoat, VioletTrim, OfficerCap","SOCKET_Muzzle, SOCKET_VFX_Tesla, SOCKET_VFX_Aura",Capsule / Convex Hull,PENDING,Content/RA4/Art/Pact/Units/SM_Pact_RU_Hero_Morozova.fbx,02_Units_2D_concepts#19,03_Units_3D_models,Icons/Pact/RU_Hero_Morozova.png
ATL_SentinelRifleman,AtlanticCommon,AtlanticAlliance,Infantry,Стрелок M6 «Sentinel»,60x60x180,1x1,"BottomCenter (0,0,0)","Torso, Head, Arms, Legs, ModularAssaultRifle, BlueTrimPlates, HUDVisor","SOCKET_Muzzle, SOCKET_VFX_Muzzle, SOCKET_VFX_Flashbang",Capsule / Convex Hull,PENDING,Content/RA4/Art/Alliance/Units/SM_Alliance_ATL_SentinelRifleman.fbx,02_Units_2D_concepts#20,03_Units_3D_models,Icons/Alliance/ATL_SentinelRifleman.png
ATL_FieldEngineer,AtlanticCommon,AtlanticAlliance,Infantry,Полевой инженер E-4,60x60x180,1x1,"BottomCenter (0,0,0)","Torso, Head, Arms, Legs, RepairDroneSwarm, CaptureKit, BlueHardshell","SOCKET_VFX_Repair, SOCKET_VFX_Capture, SOCKET_VFX_Drone",Capsule / Convex Hull,PENDING,Content/RA4/Art/Alliance/Units/SM_Alliance_ATL_FieldEngineer.fbx,02_Units_2D_concepts#21,03_Units_3D_models,Icons/Alliance/ATL_FieldEngineer.png
ATL_LifelineMedic,AtlanticCommon,AtlanticAlliance,Infantry,Полевой медик M-12 «Lifeline»,60x60x180,1x1,"BottomCenter (0,0,0)","Torso, Head, Arms, Legs, MedicalDroneSwarm, WhitePanels, MedPacks","SOCKET_VFX_Heal, SOCKET_VFX_Drone",Capsule / Convex Hull,PENDING,Content/RA4/Art/Alliance/Units/SM_Alliance_ATL_LifelineMedic.fbx,02_Units_2D_concepts#22,03_Units_3D_models,Icons/Alliance/ATL_LifelineMedic.png
ATL_WardDefenseCarrier,AtlanticCommon,AtlanticAlliance,Vehicle,Мобильный комплекс активной защиты M46 «Ward»,500x300x300,2x2,"BottomCenter (0,0,0)","Chassis, 6xWheels, InterceptorDroneRacks, DirectionalShieldEmitter","SOCKET_VFX_Shield, SOCKET_VFX_Drone, SOCKET_VFX_Engine",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Units/SM_Alliance_ATL_WardDefenseCarrier.fbx,02_Units_2D_concepts#23,03_Units_3D_models,Icons/Alliance/ATL_WardDefenseCarrier.png
ATL_MantaPatrolCraft,AtlanticCommon,AtlanticAlliance,Naval,Гидрофойл PHM-22 «Manta»,600x250x200,3x3,"BottomCenter (0,0,0)","Hull, HydrofoilFins, Autocannon, SAM, RadarMast, RadioJammerArray","SOCKET_Muzzle, SOCKET_VFX_SAM, SOCKET_VFX_Engine, SOCKET_VFX_Wake, SOCKET_VFX_Jam",Simple Box & Complex Mesh,PENDING,Content/RA4/Art/Alliance/Units/SM_Alliance_ATL_MantaPatrolCraft.fbx,02_Units_2D_concepts#24,03_Units_3D_models,Icons/Alliance/ATL_MantaPatrolCraft.png
