Faction,UnitId,VoiceId,EventTag,Variant,TextRu,SoundWave,Priority,CooldownSeconds,Weight,Status,SourceLine
Soviet,SU_BogatyrOreCarrier,V_SU_BogatyrOreCarrier_Ability,Voice.Ability,01,Закрываю броневые шторки.,SoundWave'/Game/Audio/VO/Soviet/SU_BogatyrOreCarrier/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,549
Soviet,SU_BogatyrOreCarrier,V_SU_BogatyrOreCarrier_Damaged,Voice.Damaged,01,Обшивка держит!,SoundWave'/Game/Audio/VO/Soviet/SU_BogatyrOreCarrier/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,550
Soviet,SU_BogatyrOreCarrier,V_SU_BogatyrOreCarrier_Elite,Voice.Elite,01,Маршрут знаю лучше генералов.,SoundWave'/Game/Audio/VO/Soviet/SU_BogatyrOreCarrier/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,551
Soviet,SU_BogatyrOreCarrier,V_SU_BogatyrOreCarrier_Idle,Voice.Idle,01,Руда сама себя не привезёт.,SoundWave'/Game/Audio/VO/Soviet/SU_BogatyrOreCarrier/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,552
Soviet,SU_BogatyrOreCarrier,V_SU_BogatyrOreCarrier_Death,Voice.Death,01,Груз… не доставлен…,SoundWave'/Game/Audio/VO/Soviet/SU_BogatyrOreCarrier/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,553
Soviet,SU_RysScout,V_SU_RysScout_Selected,Voice.Selected,01,Рысь вышла на маршрут.,SoundWave'/Game/Audio/VO/Soviet/SU_RysScout/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,586
Soviet,SU_RysScout,V_SU_RysScout_Move,Voice.Move,01,Уже там.,SoundWave'/Game/Audio/VO/Soviet/SU_RysScout/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,587
Soviet,SU_RysScout,V_SU_RysScout_Attack,Voice.Attack,01,Срезаем хвост колонне!,SoundWave'/Game/Audio/VO/Soviet/SU_RysScout/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,588
Soviet,SU_RysScout,V_SU_RysScout_Ability,Voice.Ability,01,Перепрыгиваем!,SoundWave'/Game/Audio/VO/Soviet/SU_RysScout/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,589
Soviet,SU_RysScout,V_SU_RysScout_Damaged,Voice.Damaged,01,"Броня тонкая, не стойте!",SoundWave'/Game/Audio/VO/Soviet/SU_RysScout/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,590
Soviet,SU_RysScout,V_SU_RysScout_Elite,Voice.Elite,01,Я вижу фланг раньше радара.,SoundWave'/Game/Audio/VO/Soviet/SU_RysScout/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,591
Soviet,SU_RysScout,V_SU_RysScout_Idle,Voice.Idle,01,Главное — не догнать собственный след.,SoundWave'/Game/Audio/VO/Soviet/SU_RysScout/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,592
Soviet,SU_RysScout,V_SU_RysScout_Death,Voice.Death,01,Скорость… не спасла…,SoundWave'/Game/Audio/VO/Soviet/SU_RysScout/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,593
Soviet,SU_GranitMBT,V_SU_GranitMBT_Selected,Voice.Selected,01,Гранит готов.,SoundWave'/Game/Audio/VO/Soviet/SU_GranitMBT/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,626
Soviet,SU_GranitMBT,V_SU_GranitMBT_Move,Voice.Move,01,Гусеницы — вперёд.,SoundWave'/Game/Audio/VO/Soviet/SU_GranitMBT/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,627
Soviet,SU_GranitMBT,V_SU_GranitMBT_Attack,Voice.Attack,01,Раздробить цель.,SoundWave'/Game/Audio/VO/Soviet/SU_GranitMBT/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,628
Soviet,SU_GranitMBT,V_SU_GranitMBT_Ability,Voice.Ability,01,На таран!,SoundWave'/Game/Audio/VO/Soviet/SU_GranitMBT/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,629
Soviet,SU_GranitMBT,V_SU_GranitMBT_Damaged,Voice.Damaged,01,"Лоб держит, борт подставили!",SoundWave'/Game/Audio/VO/Soviet/SU_GranitMBT/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,630
Soviet,SU_GranitMBT,V_SU_GranitMBT_Elite,Voice.Elite,01,Сталь научилась побеждать.,SoundWave'/Game/Audio/VO/Soviet/SU_GranitMBT/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,631
Soviet,SU_GranitMBT,V_SU_GranitMBT_Idle,Voice.Idle,01,Тише едешь — дольше стреляешь.,SoundWave'/Game/Audio/VO/Soviet/SU_GranitMBT/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,632
Soviet,SU_GranitMBT,V_SU_GranitMBT_Death,Voice.Death,01,Башня… заклинила…,SoundWave'/Game/Audio/VO/Soviet/SU_GranitMBT/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,633
Soviet,SU_ZarevoMLRS,V_SU_ZarevoMLRS_Selected,Voice.Selected,01,Пакет ракет заряжен.,SoundWave'/Game/Audio/VO/Soviet/SU_ZarevoMLRS/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,666
Soviet,SU_ZarevoMLRS,V_SU_ZarevoMLRS_Move,Voice.Move,01,Держим дистанцию.,SoundWave'/Game/Audio/VO/Soviet/SU_ZarevoMLRS/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,667
Soviet,SU_ZarevoMLRS,V_SU_ZarevoMLRS_Attack,Voice.Attack,01,Расчётный квадрат подтверждён.,SoundWave'/Game/Audio/VO/Soviet/SU_ZarevoMLRS/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,668
Soviet,SU_ZarevoMLRS,V_SU_ZarevoMLRS_Ability,Voice.Ability,01,Поджигаем весь сектор.,SoundWave'/Game/Audio/VO/Soviet/SU_ZarevoMLRS/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,669
Soviet,SU_ZarevoMLRS,V_SU_ZarevoMLRS_Damaged,Voice.Damaged,01,Пусковая под огнём!,SoundWave'/Game/Audio/VO/Soviet/SU_ZarevoMLRS/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,670
Soviet,SU_ZarevoMLRS,V_SU_ZarevoMLRS_Elite,Voice.Elite,01,Один залп — один новый горизонт.,SoundWave'/Game/Audio/VO/Soviet/SU_ZarevoMLRS/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,671
Soviet,SU_ZarevoMLRS,V_SU_ZarevoMLRS_Idle,Voice.Idle,01,Красиво горит только чужое.,SoundWave'/Game/Audio/VO/Soviet/SU_ZarevoMLRS/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,672
Soviet,SU_ZarevoMLRS,V_SU_ZarevoMLRS_Death,Voice.Death,01,Боекомплект… сейчас рванёт…,SoundWave'/Game/Audio/VO/Soviet/SU_ZarevoMLRS/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,673
Soviet,SU_GromoboyRam,V_SU_GromoboyRam_Selected,Voice.Selected,01,Громобой ждёт команды.,SoundWave'/Game/Audio/VO/Soviet/SU_GromoboyRam/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,706
Soviet,SU_GromoboyRam,V_SU_GromoboyRam_Move,Voice.Move,01,К контакту.,SoundWave'/Game/Audio/VO/Soviet/SU_GromoboyRam/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,707
Soviet,SU_GromoboyRam,V_SU_GromoboyRam_Attack,Voice.Attack,01,Замыкаю цепь!,SoundWave'/Game/Audio/VO/Soviet/SU_GromoboyRam/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,708
Soviet,SU_GromoboyRam,V_SU_GromoboyRam_Ability,Voice.Ability,01,Разряд в грунт!,SoundWave'/Game/Audio/VO/Soviet/SU_GromoboyRam/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,709
Soviet,SU_GromoboyRam,V_SU_GromoboyRam_Damaged,Voice.Damaged,01,Катушки перегреваются!,SoundWave'/Game/Audio/VO/Soviet/SU_GromoboyRam/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,710
Soviet,SU_GromoboyRam,V_SU_GromoboyRam_Elite,Voice.Elite,01,Гроза теперь идёт по земле.,SoundWave'/Game/Audio/VO/Soviet/SU_GromoboyRam/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,711
Soviet,SU_GromoboyRam,V_SU_GromoboyRam_Idle,Voice.Idle,01,Сухая погода — временная проблема.,SoundWave'/Game/Audio/VO/Soviet/SU_GromoboyRam/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,712
Soviet,SU_GromoboyRam,V_SU_GromoboyRam_Death,Voice.Death,01,Контур… разомкнут…,SoundWave'/Game/Audio/VO/Soviet/SU_GromoboyRam/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,713
Soviet,SU_VoevodaHeavyTank,V_SU_VoevodaHeavyTank_Selected,Voice.Selected,01,Воевода вступает в бой.,SoundWave'/Game/Audio/VO/Soviet/SU_VoevodaHeavyTank/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,746
Soviet,SU_VoevodaHeavyTank,V_SU_VoevodaHeavyTank_Move,Voice.Move,01,Земля выдержит.,SoundWave'/Game/Audio/VO/Soviet/SU_VoevodaHeavyTank/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,747
Soviet,SU_VoevodaHeavyTank,V_SU_VoevodaHeavyTank_Attack,Voice.Attack,01,Стереть координаты.,SoundWave'/Game/Audio/VO/Soviet/SU_VoevodaHeavyTank/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,748
Soviet,SU_VoevodaHeavyTank,V_SU_VoevodaHeavyTank_Ability,Voice.Ability,01,Переходим в осадный режим.,SoundWave'/Game/Audio/VO/Soviet/SU_VoevodaHeavyTank/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,749
Soviet,SU_VoevodaHeavyTank,V_SU_VoevodaHeavyTank_Damaged,Voice.Damaged,01,Повреждение принято. Продолжаем.,SoundWave'/Game/Audio/VO/Soviet/SU_VoevodaHeavyTank/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,750
Soviet,SU_VoevodaHeavyTank,V_SU_VoevodaHeavyTank_Elite,Voice.Elite,01,Теперь это не танк. Это направление фронта.,SoundWave'/Game/Audio/VO/Soviet/SU_VoevodaHeavyTank/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,751
Soviet,SU_VoevodaHeavyTank,V_SU_VoevodaHeavyTank_Idle,Voice.Idle,01,Мы не опаздываем. Нас ждут.,SoundWave'/Game/Audio/VO/Soviet/SU_VoevodaHeavyTank/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,752
Soviet,SU_VoevodaHeavyTank,V_SU_VoevodaHeavyTank_Death,Voice.Death,01,Воевода… оставляет рубеж…,SoundWave'/Game/Audio/VO/Soviet/SU_VoevodaHeavyTank/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,753
Soviet,SU_KrechetInterceptor,V_SU_KrechetInterceptor_Selected,Voice.Selected,01,Кречет на полосе.,SoundWave'/Game/Audio/VO/Soviet/SU_KrechetInterceptor/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,786
Soviet,SU_KrechetInterceptor,V_SU_KrechetInterceptor_Move,Voice.Move,01,Курс принят.,SoundWave'/Game/Audio/VO/Soviet/SU_KrechetInterceptor/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,787
Soviet,SU_KrechetInterceptor,V_SU_KrechetInterceptor_Attack,Voice.Attack,01,Ракеты сошли.,SoundWave'/Game/Audio/VO/Soviet/SU_KrechetInterceptor/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,788
Soviet,SU_KrechetInterceptor,V_SU_KrechetInterceptor_Ability,Voice.Ability,01,Форсаж!,SoundWave'/Game/Audio/VO/Soviet/SU_KrechetInterceptor/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,789
Soviet,SU_KrechetInterceptor,V_SU_KrechetInterceptor_Damaged,Voice.Damaged,01,Потеря давления!,SoundWave'/Game/Audio/VO/Soviet/SU_KrechetInterceptor/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,790
Soviet,SU_KrechetInterceptor,V_SU_KrechetInterceptor_Elite,Voice.Elite,01,Небо стало тесным.,SoundWave'/Game/Audio/VO/Soviet/SU_KrechetInterceptor/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,791
Soviet,SU_KrechetInterceptor,V_SU_KrechetInterceptor_Idle,Voice.Idle,01,Топливо любит решительных.,SoundWave'/Game/Audio/VO/Soviet/SU_KrechetInterceptor/Idle_01.Idle_01',Normal,2.0,1.0,MissingSoundWave,792
Soviet,SU_KrechetInterceptor,V_SU_KrechetInterceptor_Death,Voice.Death,01,Катапульта… отказ…,SoundWave'/Game/Audio/VO/Soviet/SU_KrechetInterceptor/Death_01.Death_01',Normal,2.0,1.0,MissingSoundWave,793
Soviet,SU_KorshunGunship,V_SU_KorshunGunship_Selected,Voice.Selected,01,Коршун готов к вылету.,SoundWave'/Game/Audio/VO/Soviet/SU_KorshunGunship/Selected_01.Selected_01',Normal,2.0,1.0,MissingSoundWave,827
Soviet,SU_KorshunGunship,V_SU_KorshunGunship_Move,Voice.Move,01,Идём на малой высоте.,SoundWave'/Game/Audio/VO/Soviet/SU_KorshunGunship/Move_01.Move_01',Normal,2.0,1.0,MissingSoundWave,828
Soviet,SU_KorshunGunship,V_SU_KorshunGunship_Attack,Voice.Attack,01,Работаем по земле!,SoundWave'/Game/Audio/VO/Soviet/SU_KorshunGunship/Attack_01.Attack_01',Normal,2.0,1.0,MissingSoundWave,829
Soviet,SU_KorshunGunship,V_SU_KorshunGunship_Ability,Voice.Ability,01,Заходим на круг!,SoundWave'/Game/Audio/VO/Soviet/SU_KorshunGunship/Ability_01.Ability_01',Normal,2.0,1.0,MissingSoundWave,830
Soviet,SU_KorshunGunship,V_SU_KorshunGunship_Damaged,Voice.Damaged,01,Хвостовой сектор повреждён!,SoundWave'/Game/Audio/VO/Soviet/SU_KorshunGunship/Damaged_01.Damaged_01',Normal,2.0,1.0,MissingSoundWave,831
Soviet,SU_KorshunGunship,V_SU_KorshunGunship_Elite,Voice.Elite,01,Пехота зовёт — мы отвечаем.,SoundWave'/Game/Audio/VO/Soviet/SU_KorshunGunship/Elite_01.Elite_01',Normal,2.0,1.0,MissingSoundWave,832
